"","date","pm","right_scaled","indy_scaled","snp_scaled"
"95",2025-05-27,"Starmer",0.876385570204048,0.0934934922101137,-1.37811686939344
"96",2025-05-26,"Starmer",0.887594382527775,0.0934934922101137,-1.37811686939344
"97",2025-05-25,"Starmer",0.864156309965926,0.0934934922101137,-1.37811686939344
"98",2025-05-24,"Starmer",0.866415359631323,0.0934934922101137,-1.37811686939344
"99",2025-05-22,"Starmer",0.845070969988252,0.0934934922101137,-1.37811686939344
"100",2025-05-21,"Starmer",0.848062061323263,0.0934934922101137,-1.37811686939344
"101",2025-05-20,"Starmer",0.869005550529286,0.0934934922101137,-1.37811686939344
"102",2025-05-19,"Starmer",0.842899697229668,0.0934934922101137,-1.37811686939344
"103",2025-05-17,"Starmer",0.87124234280391,0.0934934922101137,-1.37811686939344
"104",2025-05-16,"Starmer",0.886995398111806,0.0934934922101137,-1.37811686939344
"105",2025-05-15,"Starmer",0.864449986360674,0.0934934922101137,-1.37811686939344
"106",2025-05-14,"Starmer",0.835629969500702,0.0934934922101137,-1.37811686939344
"107",2025-05-12,"Starmer",0.844920652955881,0.0934934922101137,-1.37811686939344
"108",2025-05-11,"Starmer",0.846778802184229,0.0934934922101137,-1.40965599156924
"109",2025-05-10,"Starmer",0.848689465964645,0.0934934922101137,-1.40965599156924
"110",2025-05-09,"Starmer",0.827815440647383,0.0934934922101137,-1.40965599156924
"111",2025-05-07,"Starmer",0.814748479095308,0.0934934922101137,-1.40965599156924
"112",2025-05-06,"Starmer",0.793404089452236,0.0934934922101137,-1.40965599156924
"113",2025-05-05,"Starmer",0.81434757865826,0.143527583214162,-1.40965599156924
"114",2025-05-04,"Starmer",0.793473553340998,0.143527583214162,-1.40965599156924
"115",2025-05-03,"Starmer",0.775862348804752,0.143527583214162,-1.40965599156924
"116",2025-05-01,"Starmer",0.756777008827078,0.143527583214162,-1.40965599156924
"117",2025-04-30,"Starmer",0.754021451182495,0.143527583214162,-1.40965599156924
"118",2025-04-29,"Starmer",0.767088412734569,0.143527583214162,-1.40965599156924
"119",2025-04-28,"Starmer",0.753594407092072,0.143527583214162,-1.40965599156924
"120",2025-04-26,"Starmer",0.735277304539587,0.143527583214162,-1.40965599156924
"121",2025-04-25,"Starmer",0.722971557877747,0.143527583214162,-1.40965599156924
"122",2025-04-23,"Starmer",0.711582989719461,0.143527583214162,-1.40965599156924
"123",2025-04-22,"Starmer",0.683916607958964,0.143527583214162,-1.40965599156924
"124",2025-04-21,"Starmer",0.68910704185709,0.143527583214162,-1.40965599156924
"125",2025-04-20,"Starmer",0.694698376192266,0.143527583214162,-1.40965599156924
"126",2025-04-18,"Starmer",0.694195668751054,0.143527583214162,-1.40965599156924
"127",2025-04-17,"Starmer",0.668655422008795,0.143527583214162,-1.36234730830554
"128",2025-04-16,"Starmer",0.695276096305651,0.143527583214162,-1.36234730830554
"129",2025-04-14,"Starmer",0.667476799897994,0.143527583214162,-1.36234730830554
"130",2025-04-13,"Starmer",0.687923781124831,0.143527583214162,-1.36234730830554
"131",2025-04-12,"Starmer",0.699132593448556,0.143527583214162,-1.36234730830554
"132",2025-04-11,"Starmer",0.693515115460006,0.124330385226898,-1.36234730830554
"133",2025-04-09,"Starmer",0.701818687204379,0.124330385226898,-1.36234730830554
"134",2025-04-08,"Starmer",0.714389140777268,0.124330385226898,-1.36234730830554
"135",2025-04-06,"Starmer",0.719429891740624,0.124330385226898,-1.36234730830554
"136",2025-04-05,"Starmer",0.738515231718298,0.124330385226898,-1.36234730830554
"137",2025-04-04,"Starmer",0.745307588161533,0.124330385226898,-1.36234730830554
"138",2025-04-03,"Starmer",0.716487571301562,0.124330385226898,-1.36234730830554
"139",2025-04-02,"Starmer",0.737858104598009,0.124330385226898,-1.36234730830554
"140",2025-04-01,"Starmer",0.761060643469429,0.124330385226898,-1.36234730830554
"141",2025-03-31,"Starmer",0.765489862477321,0.124330385226898,-1.36234730830554
"142",2025-03-29,"Starmer",0.766166126291068,0.124330385226898,-1.36234730830554
"143",2025-03-28,"Starmer",0.76112537532771,0.124330385226898,-1.36234730830554
"144",2025-03-27,"Starmer",0.755934941429584,0.124330385226898,-1.36234730830554
